MATLAB_FUNCTION,PREFERRED,ALTERNATIVE,SCALAR
power,,!?PowImpl,pow
exp,,!?ExpImpl,exp
log,,!?LnImpl,log
log10,,!?Log10Impl,log10
matrix_product,,?MultiplyMatrices,
solve_linear_system,,?SolveLinearSystem,
kron,,?KroneckerTensorProduct,
randn,,randnImpl,
rand,,randuImpl,
randi,,randiImpl,
sin,,!?SinImpl,sin
cos,,!?CosImpl,cos
tan,,!?TanImpl,tan
tanh,,!?TanhImpl,tanh
sinh,,!?SinhImpl,sinh
cosh,,!?CoshImpl,cosh
ceil,,!?iCeil,ceil
floor,,!?iFloor,floor
round,,!?iRound,round
abs,,!?AbsImpl,fabs
atan2,,!?Atan2Impl,atan2
sign,,!?Sign,sign
slice,,?SparseSliceMatrix,
factorial,,,factorial
